S0108	Frequent causes of brittle fingernails	Causas frecuentes de uñas quebradizas
S0112	Amazing hair	Cabello increíble
S0113	Interesting facts about hair	Datos interesantes sobre el cabello
S0114	Did you know that…	¿Sabía que…?
S0116	All about hair	Todo sobre el cabello
S0117	Growth phases	Fases de crecimiento
S0118	Hair and fingernails	Cabello y uñas
S0120	Crucial for strong, healthy hair	Fundamental para un cabello fuerte y saludable
S0123	FAQs about Pantogar® capsules	Preguntas frecuentes sobre las cápsulas Pantogar®
S0125	Styling and haircare for hair problems	Estilizado y cuidado capilar para problemas del cabello
S0126	Beautiful hair in summer	Cabello hermoso en verano
S0127	Beautiful hair in winter	Cabello hermoso en invierno
S0128	Remedies for dull hair	Soluciones para el cabello opaco
S0129	What to do if you suffer from hair breakage and split ends?	¿Qué hacer si sufre de quiebre y puntas abiertas?
S0130	Haircare and styling for thin hair	Cuidado y estilizado para cabello fino
S0131	Hairstyling ideas	Ideas de peinados
S0132	Hair loss affects the mind	La caída del cabello afecta el bienestar emocional
S0133	Take action!	¡Actúe ahora!
S0136	Hereditary hair loss in women	Caída hereditaria del cabello en mujeres
S0137	Treatment	Tratamiento
S0138	Hair loss	Caída del cabello
S0140	Hair loss due to hair structure damage	Caída del cabello por daño en la estructura capilar
S0141	Hair loss due to stress	Caída del cabello por estrés
S0142	Hair loss and the thyroid	Caída del cabello y tiroides
S0143	Therapies:	Terapias:
S0146	Hereditary hair loss	Caída hereditaria del cabello
S0153	Scientifically proven efficacy	Eficacia científicamente comprobada
S0154	Studies involving Pantogar®	Estudios realizados con Pantogar®
S0156	Millions of satisfied women speak for themselves	Millones de mujeres satisfechas hablan por sí mismas
S0157	The Pantogar® active ingredients	Los ingredientes activos de Pantogar®
S0158	The key to success is patience	La clave del éxito es la paciencia
S0159	Why do I have to use the products for at least three months?	¿Por qué debo usar los productos durante al menos tres meses?
S0160	Tolerability	Tolerabilidad
S0161	How Pantogar® capsules work	Cómo funcionan las cápsulas Pantogar®
S0162	Patient Experiences	Experiencias de pacientes
S0163	Pantogar® capsules: Real Insights and Personal Stories	Cápsulas Pantogar®: experiencias reales e historias personales
S0169	Activate your hair growth now!1	¡Active el crecimiento de su cabello ahora!1
S0173	For beautiful and healthy hair:	Para un cabello hermoso y saludable:
S0178	The results of the study after 3 months were promising:	Los resultados del estudio después de 3 meses fueron prometedores:
S0180	Privacy Policy	Política de privacidad
S0181	Data protection	Protección de datos
S0191	Service	Servicio
S0192	Our service for you...	Nuestro servicio para usted...
S0194	Please describe the course of your hair loss	Por favor describa la evolución de su caída del cabello
S0195	Has your hair fallen out or broken off?	¿Su cabello se ha caído o quebrado?
S0196	From which areas of the scalp does hair fall out?	¿De qué áreas del cuero cabelludo se cae el cabello?
S0197	Does your scalp itch or do you suffer from excessive dandruff?	¿Su cuero cabelludo presenta picazón o sufre de caspa excesiva?
S0198	Have you chemically altered your hair?	¿Ha alterado químicamente su cabello?
S0199	Do you have relatives (parents, siblings, grandparents, etc.) who also suffer from hair loss?	¿Tiene familiares (padres, hermanos, abuelos, etc.) que también sufran de caída del cabello?
S0200	Diseases and medications	Enfermedades y medicamentos
S0201	Have you experienced professional and/or personal stress or upset in recent months?	¿Ha experimentado estrés profesional y/o personal en los últimos meses?
S0202	Have you recently undergone a period of hormonal change?	¿Ha pasado recientemente por un periodo de cambios hormonales?
S0203	Have you gained or lost a lot of weight?	¿Ha ganado o perdido mucho peso?
S0204	Have you ever counted the number of hairs you are losing per day?	¿Alguna vez ha contado la cantidad de cabellos que pierde por día?
S0205	Have you ever been treated for hair loss before?	¿Ha recibido tratamiento para la caída del cabello anteriormente?
S0206	How do you care for your hair?	¿Cómo cuida su cabello?
S0207	Terms of Use	Términos de uso
S0208	Expert Advice or Opinion	Asesoramiento u opinión profesional
S0209	Intellectual Property	Propiedad intelectual
